service,top90_trace_num,top90_cg_num,ms_num,label
S_86535830,18453,38,8,0
S_148191016,18453,3,5,3
S_95498879,18452,3,5,3
S_25453520,18449,3,5,3
S_60776024,18446,3,5,3
S_118858718,18444,3,5,3
S_43431915,18441,11,6,4
S_96097545,18439,3,5,3
S_149386729,18438,3,5,3
S_24257215,18435,3,5,3
S_143401220,18433,3,5,3
S_69156094,18432,3,5,3
S_65565091,18430,3,5,3
S_6001360,18427,3,5,3
S_110491016,18425,40,8,0
S_90110536,18425,3,5,3
S_119456649,18423,3,5,3
S_52990837,18422,3,5,3
S_1810018,18422,3,5,3
S_142201516,18418,3,5,3
S_106280217,18417,3,5,3
S_121851411,18415,3,5,3
S_35031465,18415,3,5,3
S_145798165,18414,3,5,3
S_108673855,18403,3,5,3
S_115862686,18401,3,5,3
S_155971849,18400,3,5,3
S_142201517,18396,3,5,3
S_140392865,18394,1,3,5
S_58377398,18393,3,5,3
S_73347135,18393,3,5,3
S_139205346,18392,3,5,3
S_85917599,18389,3,5,3
S_81728334,18388,3,5,3
S_163759396,18386,3,5,3
S_123644868,18376,3,5,3
S_20668622,18371,3,5,3
S_126036954,18370,3,5,3
S_51794742,18369,3,5,3
S_6001359,18368,3,5,3
S_63171763,18362,3,5,3
S_116461601,18361,3,5,3
S_27846893,18360,3,5,3
S_50596721,18354,3,5,3
S_83520762,18351,3,5,3
S_124838279,18350,3,5,3
S_21864250,18348,3,5,3
S_9592317,18347,3,5,3
S_121252713,18343,3,5,3
S_79354739,18341,39,8,0
S_72148646,18341,3,5,3
S_58977660,18339,3,5,3
S_86516673,18334,3,5,3
S_91905748,18327,3,5,3
S_165551758,18325,3,5,3
S_58999307,18324,38,8,0
S_158369899,18322,3,5,3
S_132027560,18321,3,5,3
S_84719682,18314,3,5,3
S_130831302,18314,3,5,3
S_93103270,18312,3,5,3
S_67960327,18308,3,5,3
S_109272165,18306,3,5,3
S_17076178,18305,3,5,3
S_150583397,18302,3,5,3
S_112265707,18300,3,5,3
S_66163548,18299,3,5,3
S_79933177,18295,3,5,3
S_112265705,18293,3,5,3
S_127836348,18291,3,5,3
S_113465094,18290,3,5,3
S_143401222,18288,3,5,3
S_60176411,18288,3,5,3
S_10932,18287,3,5,3
S_48800479,18286,3,5,3
S_72148647,18285,3,5,3
S_102089276,18279,3,5,3
S_155372265,18262,3,5,3
S_71549957,18261,3,5,3
S_129034388,18261,3,5,3
S_126036953,18259,3,5,3
S_106280215,18259,3,5,3
S_79334457,18256,3,5,3
S_75141928,18254,3,5,3
S_69752904,18254,3,5,3
S_145798164,18253,3,5,3
S_22462156,18252,3,5,3
S_70951935,18252,3,5,3
S_58377399,18251,3,5,3
S_158968435,18247,3,5,3
S_86516674,18245,3,5,3
S_132027561,18243,3,5,3
S_10931,18240,3,5,3
S_159567728,18239,3,5,3
S_146993962,18235,3,5,3
S_4205847,18235,3,5,3
S_158369898,18227,3,5,3
S_159567727,18217,3,5,3
S_32636745,18216,3,5,3
S_93103271,18201,3,5,3
S_139205347,18198,3,5,3
S_134420905,18197,3,5,3
S_126636877,18188,3,5,3
S_146993964,18186,3,5,3
S_123644870,18180,3,5,3
S_35031464,18179,3,5,3
S_39222114,18172,3,5,3
S_134420907,18172,3,5,3
S_82923383,18170,3,5,3
S_107476419,18165,3,5,3
S_101489682,18156,3,5,3
S_164357474,18138,3,5,3
S_146993963,18127,3,5,3
S_48202599,18121,3,5,3
S_18895285,18116,39,8,0
S_78137745,18113,3,5,3
S_10192311,18104,3,5,3
S_149386727,18100,3,5,3
S_129034387,18098,3,5,3
S_161385541,18097,38,8,0
S_129034386,18095,3,5,3
S_124242022,18093,3,5,3
S_60176410,18092,3,5,3
S_97893114,18085,3,5,3
S_65553923,18083,1,3,1
S_154771985,18076,3,5,3
S_69752903,18072,3,5,3
S_15265799,18052,3,3,1
S_130831300,18035,3,5,3
S_20089431,18027,39,8,0
S_59600417,18023,38,8,0
S_50596720,18022,3,5,3
S_91325572,18021,39,8,0
S_81728333,18021,3,5,3
S_82943844,18016,38,8,0
S_112265706,18002,3,5,3
S_49399043,17994,3,5,3
S_116484208,17987,39,8,0
S_146993965,17987,3,5,3
S_114663986,17978,3,5,3
S_161363314,17977,3,5,3
S_27865994,17962,38,8,0
S_121272141,17944,39,8,0
S_148811407,17936,40,8,0
S_61973237,17916,3,5,3
S_120078159,17904,39,8,0
S_11986891,17904,3,5,3
S_43432126,17898,39,8,0
S_143401219,17896,3,5,3
S_94890618,17894,5,5,5
S_66172409,17891,2,4,5
S_64357255,17885,11,10,2
S_6600166,17882,3,5,3
S_73965434,17874,38,8,0
S_107494932,17858,39,8,0
S_160788946,17852,40,8,0
S_123069940,17852,38,8,0
S_155990920,17838,38,8,0
S_164376213,17833,38,8,0
S_160155310,17822,19,3,5
S_120677325,17803,39,8,0
S_51813176,17792,38,8,0
S_138029319,17784,38,8,0
S_55405177,17779,38,8,0
S_114684863,17761,38,8,0
S_103309665,17720,39,8,0
S_62593546,17719,39,8,0
S_73368673,17709,39,8,0
S_635355,17708,39,8,0
S_147611819,17694,40,8,0
S_140425254,17684,39,8,0
S_57803207,17682,39,8,0
S_38645625,17676,38,8,0
S_39241736,17664,39,8,0
S_58999335,17662,39,8,0
S_14101055,17651,38,8,0
S_102109340,17648,39,8,0
S_122472966,17645,39,8,0
S_42832586,17642,39,8,0
S_57799649,17635,39,8,0
S_136238848,17623,39,8,0
S_145818790,17623,39,8,0
S_81150705,17616,39,8,0
S_127856132,17613,38,8,0
S_91328697,17612,39,8,0
S_85932905,17591,38,8,0
S_149974336,17582,4,3,1
S_62595179,17569,39,8,0
S_68577264,17565,38,8,0
S_144623157,17562,38,8,0
S_149407382,17551,38,8,0
S_114687012,17549,38,8,0
S_47623633,17545,39,8,0
S_31460927,17541,39,8,0
S_143391685,17536,1,2,1
S_53008716,17529,38,8,0
S_47627613,17529,38,8,0
S_21888450,17529,39,8,0
S_12605398,17524,39,8,0
S_124260876,17509,39,8,0
S_138028181,17508,39,8,0
S_137429871,17507,39,8,0
S_92494268,17490,1,2,1
S_112288389,17482,39,8,0
S_157794641,17480,39,8,0
S_147612011,17464,39,8,0
S_69775806,17437,39,8,0
S_104504969,17420,40,8,0
S_136834841,17418,39,8,0
S_47029625,17403,39,8,0
S_110486999,17402,39,8,0
S_138627767,17365,39,8,0
S_63790193,17358,39,8,0
S_2428152,17357,39,8,0
S_85937728,17346,39,8,0
S_124855886,17346,40,8,0
S_77561000,17345,39,8,0
S_38641140,17338,39,8,0
S_9612389,17337,40,8,0
S_85939623,17336,39,8,0
